Pinmux settings per pin
Format: pin (name): mux_owner gpio_owner hog?
pin 115 (GPIO115): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 116 (GPIO116): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 117 (GPIO117): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 118 (GPIO118): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 119 (GPIO119): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 120 (GPIO120): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 121 (GPIO121): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 122 (GPIO122): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 123 (GPIO123): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 124 (GPIO124): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 125 (GPIO125): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 126 (GPIO126): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 127 (GPIO127): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 128 (GPIO128): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 129 (GPIO129): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 130 (GPIO130): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 131 (GPIO131): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 132 (GPIO132): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 133 (GPIO133): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 134 (GPIO134): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 135 (GPIO135): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 136 (GPIO136): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 137 (GPIO137): 1101d000.irtx (GPIO UNCLAIMED) function func0 group GPIO137
pin 138 (GPIO138): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 139 (GPIO139): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 140 (GPIO140): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 141 (GPIO141): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 142 (GPIO142): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 143 (GPIO143): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 144 (GPIO144): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 145 (GPIO145): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 146 (GPIO146): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 147 (GPIO147): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 148 (GPIO148): mt-soc-dl1-pcm (GPIO UNCLAIMED) function func0 group GPIO148
pin 149 (GPIO149): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 150 (GPIO150): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 151 (GPIO151): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 152 (GPIO152): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 153 (GPIO153): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 154 (GPIO154): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 155 (GPIO155): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 156 (GPIO156): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 157 (GPIO157): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 158 (GPIO158): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 159 (GPIO159): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 160 (GPIO160): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 161 (GPIO161): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 162 (GPIO162): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 163 (GPIO163): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 164 (GPIO164): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 165 (GPIO165): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 166 (GPIO166): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 167 (GPIO167): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 168 (GPIO168): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 169 (GPIO169): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 170 (GPIO170): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 171 (GPIO171): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 172 (GPIO172): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 173 (GPIO173): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 174 (GPIO174): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 175 (GPIO175): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 176 (GPIO176): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 177 (GPIO177): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 178 (GPIO178): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 179 (GPIO179): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 180 (GPIO180): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 181 (GPIO181): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 182 (GPIO182): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 183 (GPIO183): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 184 (GPIO184): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 185 (GPIO185): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 186 (GPIO186): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 187 (GPIO187): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 188 (GPIO188): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 189 (GPIO189): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 190 (GPIO190): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 191 (GPIO191): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 192 (GPIO192): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 193 (GPIO193): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 194 (GPIO194): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 195 (GPIO195): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 196 (GPIO196): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 197 (GPIO197): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 198 (GPIO198): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 199 (GPIO199): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 200 (GPIO200): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 201 (GPIO201): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 202 (GPIO202): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 203 (GPIO203): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 204 (GPIO204): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 205 (GPIO205): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 206 (GPIO206): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 207 (GPIO207): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 208 (GPIO208): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 209 (GPIO209): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 210 (GPIO210): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 211 (GPIO211): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 212 (GPIO212): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 213 (GPIO213): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 214 (GPIO214): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 215 (GPIO215): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 216 (GPIO216): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 217 (GPIO217): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 218 (GPIO218): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 219 (GPIO219): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 220 (GPIO220): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 221 (GPIO221): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 222 (GPIO222): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 223 (GPIO223): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 224 (GPIO224): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 225 (GPIO225): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 226 (GPIO226): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 227 (GPIO227): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 228 (GPIO228): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 229 (GPIO229): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 230 (GPIO230): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 231 (GPIO231): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 232 (GPIO232): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 233 (GPIO233): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 234 (GPIO234): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 235 (GPIO235): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 236 (GPIO236): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 237 (GPIO237): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 238 (GPIO238): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 239 (GPIO239): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 240 (GPIO240): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 241 (GPIO241): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 242 (GPIO242): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 243 (GPIO243): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 244 (GPIO244): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 245 (GPIO245): soc:aw9120@ (GPIO UNCLAIMED) function func0 group GPIO245
pin 246 (GPIO246): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 247 (GPIO247): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 248 (GPIO248): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 249 (GPIO249): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 250 (GPIO250): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 251 (GPIO251): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 252 (GPIO252): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 253 (GPIO253): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 254 (GPIO254): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 255 (GPIO255): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 256 (GPIO256): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 257 (GPIO257): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 258 (GPIO258): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 259 (GPIO259): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 260 (GPIO260): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 261 (GPIO261): (MUX UNCLAIMED) (GPIO UNCLAIMED)
